"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          76,      -5.324803836,      -2.266049621,      -2.582653521,      0.2626948893,      -1.307597923,       3.104823599
          0,           0,          77,      -5.387413268,      -2.317513048,       -2.64196659,      0.2000049393,      -1.391417799,       3.022434947
          0,           0,          78,      -5.442090009,      -2.369841936,      -2.703023055,       0.143583459,      -1.475137342,       2.943570734
          0,           0,          79,      -5.499233142,      -2.423264033,      -2.769027061,      0.0837878069,      -1.557828471,       2.868289809
          0,           0,          80,        -5.5491427,      -2.476497928,      -2.835351017,     0.03019734788,      -1.638746663,       2.794151463
          0,           0,          81,      -5.597591424,      -2.529260587,      -2.904055267,    -0.02205077179,      -1.718000781,       2.729178741
          0,           0,          82,      -5.637272886,      -2.579686342,      -2.968749587,    -0.06501627959,      -1.795581321,       2.672461694
          0,           0,          83,      -5.672832536,      -2.627254689,      -3.027595212,     -0.1026871869,      -1.872666604,       2.624265741
          0,           0,          84,      -5.700979181,      -2.671008969,      -3.077205003,     -0.1318522776,      -1.950816114,       2.583157045
          0,           0,          85,      -5.726408908,      -2.711279499,      -3.120638358,     -0.1575657029,      -2.031005697,       2.546766114
          0,           0,          86,      -5.748246231,      -2.748181763,      -3.157901933,     -0.1793531629,      -2.113463317,       2.512334765
          0,           0,          87,      -5.769065627,      -2.782588946,      -3.191859222,     -0.2001645312,      -2.197471338,       2.477544812
          0,           0,          88,      -5.788057123,      -2.814699667,      -3.222212956,     -0.2192916977,      -2.281354255,       2.440740977
          0,           0,          89,      -5.806190511,      -2.844990178,      -3.250302719,     -0.2377716275,      -2.362574775,       2.401231577
          0,           0,          90,       -5.82277493,      -2.873328125,      -3.276255519,     -0.2548049196,      -2.437576081,       2.358946846
          0,           0,          91,      -5.838473347,      -2.899994234,      -3.301189873,     -0.2710061161,      -2.502306154,        2.31435784
          0,           0,          92,      -5.852988517,      -2.924944447,      -3.325205436,     -0.2859458811,      -2.554006216,       2.268065456
          0,           0,          93,      -5.866871967,      -2.948571646,      -3.349077935,       -0.30015124,      -2.592565017,       2.220722787
          0,           0,          94,      -5.880048055,      -2.970974696,      -3.372949445,     -0.3134727175,      -2.620891143,       2.172838775
          0,           0,          95,      -5.892965963,      -2.992516543,      -3.397487174,     -0.3263621197,      -2.643242277,         2.1247972
          0,           0,          96,      -5.905569691,      -3.013333431,      -3.422721389,      -0.338746943,      -2.663605165,       2.076864406
          0,           0,          97,      -5.918045972,      -3.033740363,      -3.448586585,     -0.3508353371,      -2.684808471,       2.029323646
          0,           0,          98,      -5.930189913,      -3.053768859,      -3.474740575,     -0.3624373512,       -2.70842792,       1.982455109
          0,           0,          99,      -5.942030059,      -3.073459116,      -3.501009079,     -0.3736093344,      -2.735188462,       1.936553354
          0,           0,         100,      -5.953397047,        -3.0927197,      -3.526691369,      -0.384223751,      -2.765270854,       1.891795622
          0,           0,         101,      -5.964287446,      -3.111431438,      -3.551328512,     -0.3943093095,      -2.798634803,       1.848149271
          0,           0,         102,      -5.974615432,      -3.129410927,      -3.574409181,     -0.4038283464,      -2.835140576,       1.805232179
          0,           0,         103,      -5.984447948,      -3.146508225,      -3.595697509,     -0.4128725954,       -2.87467318,        1.76236141
          0,           0,         104,      -5.993825884,       -3.16261063,      -3.614938754,     -0.4215169849,      -2.917188499,       1.718669917
          0,           0,         105,       -6.00283715,      -3.177638545,       -3.63217926,     -0.4298572813,      -2.962668858,       1.673287527
          0,           0,         106,      -6.011560693,      -3.191573181,       -3.64758633,     -0.4379871843,      -3.010993558,       1.625533319
          0,           0,         107,      -6.020068106,      -3.204440488,      -3.661439629,     -0.4459712541,      -3.061811455,       1.575086782
          0,           0,         108,      -6.028425894,       -3.21632791,      -3.674043763,     -0.4538768635,      -3.114332216,       1.522118811
          0,           0,         109,      -6.036663792,       -3.22734383,      -3.685683904,     -0.4617208124,      -3.166975347,       1.467390635
          0,           0,         110,      -6.044820443,      -3.237625584,      -3.696615781,     -0.4695369435,       -3.21766448,       1.412295785
          0,           0,         111,      -6.052893893,      -3.247301251,      -3.707020213,     -0.4773115874,       -3.26387433,       1.358799682
          0,           0,         112,      -6.060906086,      -3.256502977,      -3.717063339,     -0.4850615359,      -3.303104818,       1.309177958
          0,           0,         113,      -6.068842049,      -3.265336015,      -3.726836823,     -0.4927634616,      -3.333684368,       1.265543364
          0,           0,         114,       -6.07671561,      -3.273896336,       -3.73643938,      -0.500427775,      -3.355323804,       1.229255877
          0,           0,         115,      -6.084511492,      -3.282252441,      -3.745918201,     -0.5080338336,      -3.368451445,       1.200527655
          0,           0,         116,      -6.092238924,      -3.290462114,      -3.755319973,     -0.5155880559,      -3.374603924,       1.178446848
          0,           0,         117,      -6.099883007,       -3.29856216,      -3.764656394,     -0.5230727113,      -3.377205176,       1.161438215
          0,           0,         118,      -6.107449247,      -3.306586492,      -3.773967438,     -0.5304918942,      -3.378074468,       1.147786095
